folder,subfolder,plate_text,timestamp,image_path
CAM_19,2025-07-12T19+0300,HoM,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame60_HoM.jpg
CAM_19,2025-07-12T19+0300,nolno,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame70_nolno.jpg
CAM_19,2025-07-12T19+0300,Hol,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame80_Hol.jpg
CAM_19,2025-07-12T19+0300,notna,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame90_notna.jpg
CAM_19,2025-07-12T19+0300,HonnO,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame100_HonnO.jpg
CAM_19,2025-07-12T19+0300,uom,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame110_uom.jpg
CAM_19,2025-07-12T19+0300,pone,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame120_pone.jpg
CAM_19,2025-07-12T19+0300,poM,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame130_poM.jpg
CAM_19,2025-07-12T19+0300,Hom7,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame140_Hom7.jpg
CAM_19,2025-07-12T19+0300,Hom,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame150_Hom.jpg
CAM_19,2025-07-12T19+0300,noe,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame160_noe.jpg
CAM_19,2025-07-12T19+0300,HonO,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame170_HonO.jpg
CAM_19,2025-07-12T19+0300,nono,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame180_nono.jpg
CAM_19,2025-07-12T19+0300,pole,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame190_pole.jpg
CAM_19,2025-07-12T19+0300,pon,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame200_pon.jpg
CAM_19,2025-07-12T19+0300,pol,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame210_pol.jpg
CAM_19,2025-07-12T19+0300,L01O,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame220_L01O.jpg
CAM_19,2025-07-12T19+0300,uOl,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame230_uOl.jpg
CAM_19,2025-07-12T19+0300,ponne,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame240_ponne.jpg
CAM_19,2025-07-12T19+0300,Hom7O,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame250_Hom7O.jpg
CAM_19,2025-07-12T19+0300,Do1O,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame260_Do1O.jpg
CAM_19,2025-07-12T19+0300,uonno,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame270_uonno.jpg
CAM_19,2025-07-12T19+0300,nolo,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame280_nolo.jpg
CAM_19,2025-07-12T19+0300,Doi,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame290_Doi.jpg
CAM_19,2025-07-12T19+0300,none,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame300_none.jpg
CAM_19,2025-07-12T19+0300,pone,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame310_pone.jpg
CAM_19,2025-07-12T19+0300,Dona,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame320_Dona.jpg
CAM_19,2025-07-12T19+0300,ponne,2025-07-12 19:18:41,detected_vehicles/20250712_191841_frame330_ponne.jpg
CAM_19,2025-07-12T19+0300,pomne,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame10_pomne.jpg
CAM_19,2025-07-12T19+0300,nomne,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame20_nomne.jpg
CAM_19,2025-07-12T19+0300,pome,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame30_pome.jpg
CAM_19,2025-07-12T19+0300,polnO,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame40_polnO.jpg
CAM_19,2025-07-12T19+0300,pone,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame50_pone.jpg
CAM_19,2025-07-12T19+0300,pono,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame60_pono.jpg
CAM_19,2025-07-12T19+0300,nomo,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame70_nomo.jpg
CAM_19,2025-07-12T19+0300,Homne,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame80_Homne.jpg
CAM_19,2025-07-12T19+0300,001O,2025-07-12 19:19:37,detected_vehicles/20250712_191937_frame90_001O.jpg
